transaction_id,account_id,customer_id,transaction_date,amount,transaction_type,channel,category,description,is_debit
TXN000048,ACC00084,CUST0012,2022-05-03,2155.46,TRANSFER,MOBILE,OTHER,Transaction 48,True
TXN000049,ACC00231,CUST0021,2023-11-17,2598.43,TRANSFER,WIRE,ENTERTAINMENT,Transaction 49,False
TXN000050,ACC00177,CUST0192,2022-02-10,4118.2,TRANSFER,WIRE,RENT,Transaction 50,True
TXN000051,ACC00146,CUST0030,2023-12-29,3251.58,FEE,MOBILE,OTHER,Transaction 51,False
TXN000052,ACC00041,CUST0168,2024-02-20,6137.02,PAYMENT,BRANCH,OTHER,Transaction 52,True
TXN000053,ACC00328,CUST0166,2023-11-22,4218.74,FEE,WIRE,UTILITIES,Transaction 53,True
TXN000054,ACC00041,CUST0168,2022-11-28,3436.91,TRANSFER,ATM,TRANSFER,Transaction 54,False
TXN000055,ACC00137,CUST0017,2024-03-20,2713.21,PAYMENT,ATM,TRANSFER,Transaction 55,False
TXN000056,ACC00212,CUST0019,2022-12-09,1839.68,DEPOSIT,BRANCH,TRANSFER,Transaction 56,True
TXN000057,ACC00339,CUST0158,2023-05-31,9404.43,DEPOSIT,BRANCH,RENT,Transaction 57,False
TXN000058,ACC00053,CUST0118,2022-07-15,638.86,PAYMENT,WIRE,SALARY,Transaction 58,True
TXN000059,ACC00204,CUST0145,2024-12-09,7650.2,DEPOSIT,ONLINE,GROCERIES,Transaction 59,True
TXN000060,ACC00044,CUST0025,2024-03-09,3094.4,WITHDRAWAL,ATM,UTILITIES,Transaction 60,True
TXN000061,ACC00068,CUST0064,2024-12-14,8385.34,DEPOSIT,ONLINE,TRANSFER,Transaction 61,False
TXN000062,ACC00167,CUST0177,2024-09-02,4672.47,FEE,ATM,ENTERTAINMENT,Transaction 62,False
TXN000063,ACC00070,CUST0104,2022-12-29,5908.72,PAYMENT,WIRE,UTILITIES,Transaction 63,False
TXN000064,ACC00178,CUST0017,2024-09-13,5397.14,DEPOSIT,MOBILE,GROCERIES,Transaction 64,False
TXN000065,ACC00212,CUST0019,2023-06-17,1558.02,DEPOSIT,ONLINE,ENTERTAINMENT,Transaction 65,True
TXN000066,ACC00177,CUST0192,2023-08-11,4692.51,DEPOSIT,MOBILE,OTHER,Transaction 66,False
TXN000067,ACC00154,CUST0072,2022-01-19,7658.93,TRANSFER,WIRE,RENT,Transaction 67,True
TXN000068,ACC00281,CUST0167,2024-02-05,1886.52,FEE,MOBILE,UTILITIES,Transaction 68,True
TXN000069,ACC00084,CUST0012,2024-03-09,8284.44,WITHDRAWAL,ATM,SALARY,Transaction 69,False
TXN000070,ACC00321,CUST0065,2023-05-06,5166.58,FEE,ATM,GROCERIES,Transaction 70,False
TXN000071,ACC00212,CUST0019,2023-01-21,8534.97,WITHDRAWAL,BRANCH,GROCERIES,Transaction 71,True
TXN000072,ACC00327,CUST0153,2024-07-21,6177.68,TRANSFER,WIRE,UTILITIES,Transaction 72,True
TXN000073,ACC00165,CUST0023,2022-02-09,1522.34,FEE,ONLINE,RENT,Transaction 73,True
TXN000074,ACC00145,CUST0138,2023-07-06,1251.27,PAYMENT,ONLINE,RENT,Transaction 74,True
TXN000075,ACC00078,CUST0047,2022-01-31,4936.3,TRANSFER,MOBILE,GROCERIES,Transaction 75,False
TXN000076,ACC00191,CUST0189,2024-08-07,6969.65,DEPOSIT,ATM,SALARY,Transaction 76,True
TXN000077,ACC00029,CUST0200,2023-06-30,7756.75,DEPOSIT,WIRE,UTILITIES,Transaction 77,True
TXN000078,ACC00099,CUST0139,2023-05-28,8172.69,DEPOSIT,ONLINE,OTHER,Transaction 78,True
TXN000079,ACC00198,CUST0020,2024-06-26,2472.37,DEPOSIT,BRANCH,UTILITIES,Transaction 79,True
TXN000080,ACC00267,CUST0087,2023-03-03,4728.78,TRANSFER,ATM,RENT,Transaction 80,True
TXN000081,ACC00282,CUST0152,2024-12-02,1222.29,PAYMENT,ATM,RENT,Transaction 81,False
TXN000082,ACC00027,CUST0023,2023-03-23,9732.77,WITHDRAWAL,MOBILE,GROCERIES,Transaction 82,True
TXN000083,ACC00086,CUST0037,2023-07-20,5847.38,PAYMENT,BRANCH,SALARY,Transaction 83,True
TXN000084,ACC00298,CUST0033,2024-08-31,6884.38,WITHDRAWAL,ATM,OTHER,Transaction 84,True
TXN000085,ACC00128,CUST0093,2022-11-19,4999.69,FEE,ATM,OTHER,Transaction 85,True
TXN000086,ACC00031,CUST0065,2023-12-30,6446.1,FEE,ONLINE,RENT,Transaction 86,False
TXN000087,ACC00120,CUST0051,2023-10-11,9816.78,TRANSFER,MOBILE,TRANSFER,Transaction 87,True
TXN000088,ACC00011,CUST0035,2024-02-13,3582.32,WITHDRAWAL,ATM,SALARY,Transaction 88,False
TXN000089,ACC00225,CUST0110,2023-08-27,5427.8,PAYMENT,BRANCH,ENTERTAINMENT,Transaction 89,True
TXN000090,ACC00279,CUST0170,2023-12-14,3237.49,PAYMENT,ATM,OTHER,Transaction 90,True
TXN000091,ACC00036,CUST0053,2024-12-23,1551.1,TRANSFER,ATM,ENTERTAINMENT,Transaction 91,False
TXN000092,ACC00233,CUST0175,2022-01-02,7759.4,FEE,MOBILE,TRANSFER,Transaction 92,True
TXN000093,ACC00010,CUST0091,2024-01-16,7760.39,WITHDRAWAL,ATM,TRANSFER,Transaction 93,True
TXN000094,ACC00338,CUST0058,2024-03-04,1899.5,PAYMENT,WIRE,RENT,Transaction 94,False
TXN000095,ACC00166,CUST0036,2024-04-19,6409.4,DEPOSIT,ONLINE,ENTERTAINMENT,Transaction 95,True
TXN000096,ACC00023,CUST0074,2022-09-23,1787.21,DEPOSIT,BRANCH,SALARY,Transaction 96,False
TXN000097,ACC00099,CUST0139,2022-07-22,319.14,PAYMENT,MOBILE,ENTERTAINMENT,Transaction 97,False
TXN000098,ACC00026,CUST0127,2024-01-21,2208.01,DEPOSIT,ONLINE,RENT,Transaction 98,False
TXN000099,ACC00041,CUST0168,2024-08-16,8010.4,DEPOSIT,ATM,ENTERTAINMENT,Transaction 99,False
TXN000100,ACC00189,CUST0096,2022-04-30,8236.61,TRANSFER,WIRE,SALARY,Transaction 100,True
TXN000101,ACC00156,CUST0083,2022-06-09,9446.09,FEE,ONLINE,SALARY,Transaction 101,True
TXN000102,ACC00273,CUST0031,2024-02-29,1895.41,FEE,BRANCH,ENTERTAINMENT,Transaction 102,True
TXN000103,ACC00286,CUST0170,2024-04-30,7461.34,FEE,ATM,TRANSFER,Transaction 103,False
TXN000104,ACC00341,CUST0172,2024-05-24,8828.36,WITHDRAWAL,BRANCH,ENTERTAINMENT,Transaction 104,False
TXN000105,ACC00259,CUST0050,2023-11-23,6575.66,FEE,WIRE,UTILITIES,Transaction 105,False
TXN000106,ACC00162,CUST0059,2023-10-27,8448.7,PAYMENT,MOBILE,OTHER,Transaction 106,False
TXN000107,ACC00312,CUST0147,2023-05-08,5631.88,WITHDRAWAL,MOBILE,OTHER,Transaction 107,False
TXN000108,ACC00185,CUST0152,2024-07-15,4475.55,PAYMENT,ONLINE,TRANSFER,Transaction 108,True
TXN000109,ACC00146,CUST0030,2022-02-03,5176.58,TRANSFER,ONLINE,GROCERIES,Transaction 109,True
TXN000110,ACC00110,CUST0062,2023-10-07,217.99,TRANSFER,WIRE,ENTERTAINMENT,Transaction 110,True
TXN000111,ACC00049,CUST0168,2022-03-19,4604.24,WITHDRAWAL,BRANCH,GROCERIES,Transaction 111,False
TXN000112,ACC00299,CUST0156,2023-05-27,2330.71,TRANSFER,ONLINE,ENTERTAINMENT,Transaction 112,False
TXN000113,ACC00292,CUST0085,2023-03-22,7342.93,TRANSFER,MOBILE,RENT,Transaction 113,False
TXN000114,ACC00296,CUST0116,2022-07-15,5952.72,TRANSFER,ONLINE,TRANSFER,Transaction 114,False
TXN000115,ACC00041,CUST0168,2022-04-25,9218.79,TRANSFER,ATM,OTHER,Transaction 115,False
TXN000116,ACC00214,CUST0151,2022-09-04,8698.0,WITHDRAWAL,WIRE,SALARY,Transaction 116,False
TXN000117,ACC00028,CUST0148,2023-09-17,5244.31,TRANSFER,WIRE,ENTERTAINMENT,Transaction 117,True
TXN000118,ACC00168,CUST0101,2024-10-25,6977.99,WITHDRAWAL,ONLINE,TRANSFER,Transaction 118,False
TXN000119,ACC00229,CUST0179,2024-10-30,901.74,PAYMENT,ATM,OTHER,Transaction 119,False
TXN000120,ACC00076,CUST0079,2022-09-28,3362.35,PAYMENT,WIRE,TRANSFER,Transaction 120,True
TXN000121,ACC00281,CUST0167,2024-03-28,2626.32,PAYMENT,WIRE,UTILITIES,Transaction 121,True
TXN000122,ACC00070,CUST0104,2024-09-11,5593.4,PAYMENT,MOBILE,TRANSFER,Transaction 122,True
TXN000123,ACC00288,CUST0072,2024-12-09,2463.21,DEPOSIT,ATM,OTHER,Transaction 123,False
TXN000124,ACC00166,CUST0036,2022-07-03,1126.19,PAYMENT,MOBILE,GROCERIES,Transaction 124,False
TXN000125,ACC00098,CUST0126,2023-10-19,3445.9,DEPOSIT,ATM,RENT,Transaction 125,False
TXN000126,ACC00316,CUST0083,2024-06-24,6232.2,PAYMENT,ONLINE,OTHER,Transaction 126,True
TXN000127,ACC00103,CUST0135,2024-02-05,1560.76,DEPOSIT,ONLINE,TRANSFER,Transaction 127,True
TXN000128,ACC00125,CUST0119,2022-10-30,8687.65,TRANSFER,ONLINE,GROCERIES,Transaction 128,True
TXN000129,ACC00157,CUST0196,2024-07-10,4712.43,TRANSFER,BRANCH,TRANSFER,Transaction 129,True
TXN000130,ACC00105,CUST0021,2024-12-07,7503.8,FEE,MOBILE,ENTERTAINMENT,Transaction 130,True
TXN000131,ACC00343,CUST0097,2022-02-07,3766.69,FEE,ONLINE,GROCERIES,Transaction 131,True
TXN000132,ACC00031,CUST0065,2023-08-05,2007.76,FEE,ATM,SALARY,Transaction 132,False
TXN000133,ACC00336,CUST0161,2022-01-18,666.91,TRANSFER,ATM,OTHER,Transaction 133,True
TXN000134,ACC00010,CUST0091,2023-08-23,8674.24,PAYMENT,BRANCH,UTILITIES,Transaction 134,True
TXN000135,ACC00162,CUST0059,2024-09-19,8667.86,FEE,ONLINE,RENT,Transaction 135,True
TXN000136,ACC00257,CUST0057,2024-07-26,5607.31,DEPOSIT,ONLINE,RENT,Transaction 136,False
TXN000137,ACC00171,CUST0198,2024-09-30,3934.6,WITHDRAWAL,ONLINE,GROCERIES,Transaction 137,False
TXN000138,ACC00182,CUST0107,2023-09-12,2362.81,FEE,ATM,OTHER,Transaction 138,True
TXN000139,ACC00321,CUST0065,2023-06-12,8786.89,DEPOSIT,WIRE,GROCERIES,Transaction 139,True
TXN000140,ACC00078,CUST0047,2023-12-01,8971.86,WITHDRAWAL,ONLINE,TRANSFER,Transaction 140,False
TXN000141,ACC00267,CUST0087,2023-04-11,4173.92,FEE,BRANCH,UTILITIES,Transaction 141,False
TXN000142,ACC00310,CUST0011,2023-11-06,4492.24,WITHDRAWAL,BRANCH,TRANSFER,Transaction 142,True
TXN000143,ACC00298,CUST0033,2023-02-19,8626.01,TRANSFER,WIRE,RENT,Transaction 143,False
TXN000144,ACC00075,CUST0115,2022-11-20,3175.64,FEE,WIRE,TRANSFER,Transaction 144,True
TXN000145,ACC00095,CUST0132,2023-10-13,8395.39,WITHDRAWAL,ONLINE,OTHER,Transaction 145,False
TXN000146,ACC00212,CUST0019,2024-04-22,3034.18,TRANSFER,BRANCH,OTHER,Transaction 146,True
TXN000147,ACC00055,CUST0177,2022-09-27,1848.28,FEE,WIRE,GROCERIES,Transaction 147,True
TXN000148,ACC00306,CUST0173,2023-04-21,2309.89,DEPOSIT,ATM,SALARY,Transaction 148,False
TXN000149,ACC00069,CUST0147,2024-10-25,8461.54,PAYMENT,ATM,RENT,Transaction 149,False
TXN000150,ACC00252,CUST0196,2024-08-28,1375.99,WITHDRAWAL,BRANCH,SALARY,Transaction 150,False
TXN000151,ACC00008,CUST0130,2023-07-07,9502.03,WITHDRAWAL,BRANCH,OTHER,Transaction 151,True
TXN000152,ACC00034,CUST0008,2022-12-29,9271.1,PAYMENT,WIRE,UTILITIES,Transaction 152,False
TXN000153,ACC00235,CUST0004,2023-05-21,4276.13,DEPOSIT,WIRE,TRANSFER,Transaction 153,False
TXN000154,ACC00161,CUST0058,2024-03-18,6115.44,FEE,WIRE,ENTERTAINMENT,Transaction 154,True
TXN000155,ACC00267,CUST0087,2022-08-12,4516.64,DEPOSIT,BRANCH,ENTERTAINMENT,Transaction 155,False
TXN000156,ACC00021,CUST0147,2024-03-04,5161.75,DEPOSIT,BRANCH,GROCERIES,Transaction 156,False
TXN000157,ACC00204,CUST0145,2023-09-16,7737.0,TRANSFER,MOBILE,RENT,Transaction 157,False
TXN000158,ACC00151,CUST0132,2022-04-22,6899.84,WITHDRAWAL,MOBILE,OTHER,Transaction 158,False
TXN000159,ACC00047,CUST0130,2024-10-22,1132.6,FEE,WIRE,RENT,Transaction 159,False
TXN000160,ACC00212,CUST0019,2023-10-25,4509.41,WITHDRAWAL,MOBILE,ENTERTAINMENT,Transaction 160,True
TXN000161,ACC00233,CUST0175,2022-07-04,2501.57,WITHDRAWAL,ONLINE,SALARY,Transaction 161,True
TXN000162,ACC00231,CUST0021,2024-01-14,853.98,PAYMENT,WIRE,ENTERTAINMENT,Transaction 162,True
TXN000163,ACC00194,CUST0078,2024-02-19,440.02,WITHDRAWAL,ATM,ENTERTAINMENT,Transaction 163,True
TXN000164,ACC00084,CUST0012,2022-10-24,1789.49,DEPOSIT,MOBILE,GROCERIES,Transaction 164,False
TXN000165,ACC00229,CUST0179,2023-08-15,6264.9,DEPOSIT,BRANCH,RENT,Transaction 165,True
TXN000166,ACC00319,CUST0162,2023-06-03,123.07,PAYMENT,MOBILE,ENTERTAINMENT,Transaction 166,True
TXN000167,ACC00312,CUST0147,2024-10-07,2379.55,FEE,MOBILE,UTILITIES,Transaction 167,False
TXN000168,ACC00227,CUST0170,2022-06-12,6012.56,DEPOSIT,BRANCH,ENTERTAINMENT,Transaction 168,False
TXN000169,ACC00318,CUST0022,2023-03-02,490.14,WITHDRAWAL,ONLINE,TRANSFER,Transaction 169,False
TXN000170,ACC00019,CUST0156,2022-10-25,8538.44,FEE,WIRE,GROCERIES,Transaction 170,False
TXN000171,ACC00045,CUST0131,2022-04-11,1089.77,WITHDRAWAL,BRANCH,TRANSFER,Transaction 171,False
TXN000172,ACC00313,CUST0041,2022-12-30,9662.97,FEE,ATM,SALARY,Transaction 172,True
TXN000173,ACC00154,CUST0072,2023-10-24,3686.33,PAYMENT,ONLINE,OTHER,Transaction 173,False
TXN000174,ACC00282,CUST0152,2022-05-13,2929.03,WITHDRAWAL,ONLINE,TRANSFER,Transaction 174,False
TXN000175,ACC00169,CUST0062,2024-12-15,4138.17,WITHDRAWAL,BRANCH,ENTERTAINMENT,Transaction 175,True
TXN000176,ACC00056,CUST0174,2024-12-19,9871.91,PAYMENT,WIRE,OTHER,Transaction 176,False
TXN000177,ACC00219,CUST0108,2023-10-11,2597.34,FEE,WIRE,GROCERIES,Transaction 177,True
TXN000178,ACC00315,CUST0089,2024-10-13,5197.54,PAYMENT,MOBILE,OTHER,Transaction 178,True
TXN000179,ACC00313,CUST0041,2023-04-22,7086.16,WITHDRAWAL,ONLINE,SALARY,Transaction 179,True
TXN000180,ACC00239,CUST0078,2022-08-30,7374.95,WITHDRAWAL,WIRE,UTILITIES,Transaction 180,False
TXN000181,ACC00024,CUST0175,2023-11-15,3497.15,WITHDRAWAL,ONLINE,TRANSFER,Transaction 181,True
TXN000182,ACC00145,CUST0138,2023-06-06,7902.16,TRANSFER,ATM,ENTERTAINMENT,Transaction 182,False
TXN000183,ACC00004,CUST0187,2022-08-22,6858.67,TRANSFER,MOBILE,TRANSFER,Transaction 183,True
TXN000184,ACC00090,CUST0063,2023-02-02,3305.82,TRANSFER,MOBILE,UTILITIES,Transaction 184,True
TXN000185,ACC00331,CUST0168,2022-10-06,4815.47,PAYMENT,WIRE,GROCERIES,Transaction 185,False
TXN000186,ACC00212,CUST0019,2022-04-25,8351.22,TRANSFER,WIRE,TRANSFER,Transaction 186,False
TXN000187,ACC00285,CUST0172,2022-02-08,2083.42,TRANSFER,ATM,SALARY,Transaction 187,True
TXN000188,ACC00144,CUST0107,2022-03-05,3392.19,PAYMENT,WIRE,OTHER,Transaction 188,True
TXN000189,ACC00293,CUST0163,2024-03-08,1874.6,DEPOSIT,ATM,TRANSFER,Transaction 189,False
TXN000190,ACC00017,CUST0110,2023-07-11,4139.28,PAYMENT,BRANCH,GROCERIES,Transaction 190,False
TXN000191,ACC00155,CUST0179,2023-03-19,5251.48,WITHDRAWAL,ONLINE,GROCERIES,Transaction 191,True
TXN000192,ACC00104,CUST0021,2022-07-09,4438.3,DEPOSIT,MOBILE,ENTERTAINMENT,Transaction 192,True
TXN000193,ACC00098,CUST0126,2023-11-28,9236.44,FEE,ATM,OTHER,Transaction 193,False
TXN000194,ACC00074,CUST0138,2022-07-21,8221.56,FEE,BRANCH,RENT,Transaction 194,True
TXN000195,ACC00236,CUST0145,2024-03-04,7137.06,FEE,ONLINE,SALARY,Transaction 195,False
TXN000196,ACC00023,CUST0074,2022-06-28,3333.56,DEPOSIT,ONLINE,ENTERTAINMENT,Transaction 196,False
TXN000197,ACC00012,CUST0011,2023-10-02,6388.87,WITHDRAWAL,ATM,RENT,Transaction 197,True
TXN000198,ACC00147,CUST0109,2023-07-21,5323.23,PAYMENT,ONLINE,GROCERIES,Transaction 198,True
TXN000199,ACC00081,CUST0077,2023-07-15,1145.49,FEE,WIRE,ENTERTAINMENT,Transaction 199,True
TXN000200,ACC00106,CUST0022,2023-12-19,5494.11,TRANSFER,BRANCH,TRANSFER,Transaction 200,False
TXN000201,ACC00294,CUST0184,2023-05-17,1713.58,TRANSFER,WIRE,GROCERIES,Transaction 201,False
TXN000202,ACC00026,CUST0127,2022-09-24,290.9,DEPOSIT,ONLINE,UTILITIES,Transaction 202,True
TXN000203,ACC00045,CUST0131,2024-05-23,3919.78,FEE,WIRE,TRANSFER,Transaction 203,False
TXN000204,ACC00316,CUST0083,2023-12-30,3125.09,WITHDRAWAL,WIRE,SALARY,Transaction 204,False
TXN000205,ACC00291,CUST0144,2022-09-27,930.07,PAYMENT,ONLINE,UTILITIES,Transaction 205,False
TXN000206,ACC00330,CUST0018,2024-08-11,4705.99,WITHDRAWAL,BRANCH,OTHER,Transaction 206,False
TXN000207,ACC00187,CUST0097,2024-03-13,1834.35,TRANSFER,ATM,UTILITIES,Transaction 207,False
TXN000208,ACC00016,CUST0047,2022-05-14,4753.87,TRANSFER,MOBILE,UTILITIES,Transaction 208,True
TXN000209,ACC00145,CUST0138,2023-12-15,6044.8,WITHDRAWAL,WIRE,SALARY,Transaction 209,False
TXN000210,ACC00055,CUST0177,2023-10-30,5561.94,DEPOSIT,ATM,ENTERTAINMENT,Transaction 210,False
TXN000211,ACC00206,CUST0026,2024-04-26,2386.51,WITHDRAWAL,WIRE,RENT,Transaction 211,False
TXN000212,ACC00197,CUST0034,2022-05-16,3407.8,FEE,MOBILE,OTHER,Transaction 212,False
TXN000213,ACC00291,CUST0144,2023-12-02,5445.72,WITHDRAWAL,BRANCH,TRANSFER,Transaction 213,True
TXN000214,ACC00294,CUST0184,2024-09-23,1144.11,FEE,MOBILE,GROCERIES,Transaction 214,True
TXN000215,ACC00228,CUST0012,2022-12-27,3081.05,PAYMENT,ONLINE,ENTERTAINMENT,Transaction 215,True
TXN000216,ACC00306,CUST0173,2024-02-16,3274.76,DEPOSIT,ONLINE,RENT,Transaction 216,True
TXN000217,ACC00298,CUST0033,2022-01-01,7571.02,WITHDRAWAL,MOBILE,ENTERTAINMENT,Transaction 217,False
TXN000218,ACC00200,CUST0102,2024-07-04,1957.47,TRANSFER,ATM,ENTERTAINMENT,Transaction 218,False
TXN000219,ACC00223,CUST0026,2023-12-07,9902.9,FEE,ONLINE,ENTERTAINMENT,Transaction 219,False
TXN000220,ACC00066,CUST0004,2023-08-26,625.04,FEE,ONLINE,SALARY,Transaction 220,False
TXN000221,ACC00057,CUST0089,2023-08-01,8656.93,WITHDRAWAL,MOBILE,TRANSFER,Transaction 221,False
TXN000222,ACC00321,CUST0065,2023-10-14,7118.02,PAYMENT,MOBILE,UTILITIES,Transaction 222,True
TXN000223,ACC00340,CUST0124,2022-12-22,4749.24,WITHDRAWAL,WIRE,UTILITIES,Transaction 223,False
TXN000224,ACC00214,CUST0151,2022-11-12,2885.42,WITHDRAWAL,BRANCH,SALARY,Transaction 224,True
TXN000225,ACC00332,CUST0158,2022-02-02,1440.81,PAYMENT,MOBILE,RENT,Transaction 225,True
TXN000226,ACC00071,CUST0035,2024-05-01,8601.67,FEE,MOBILE,ENTERTAINMENT,Transaction 226,True
TXN000227,ACC00233,CUST0175,2024-11-09,4241.82,PAYMENT,MOBILE,GROCERIES,Transaction 227,True
TXN000228,ACC00096,CUST0106,2024-05-19,6046.13,FEE,MOBILE,OTHER,Transaction 228,True
TXN000229,ACC00257,CUST0057,2023-07-06,4108.97,FEE,WIRE,GROCERIES,Transaction 229,True
TXN000230,ACC00020,CUST0146,2024-09-16,7049.12,DEPOSIT,WIRE,UTILITIES,Transaction 230,True
TXN000231,ACC00073,CUST0181,2024-12-14,9835.81,TRANSFER,MOBILE,ENTERTAINMENT,Transaction 231,True
TXN000232,ACC00268,CUST0043,2022-07-01,2453.07,DEPOSIT,WIRE,OTHER,Transaction 232,False
TXN000233,ACC00314,CUST0076,2022-04-19,9035.95,FEE,ONLINE,UTILITIES,Transaction 233,False
TXN000234,ACC00263,CUST0200,2024-08-18,5740.08,TRANSFER,MOBILE,GROCERIES,Transaction 234,False
TXN000235,ACC00149,CUST0157,2022-12-10,354.23,FEE,ATM,TRANSFER,Transaction 235,False
TXN000236,ACC00032,CUST0044,2024-08-27,5781.83,FEE,ONLINE,TRANSFER,Transaction 236,False
TXN000237,ACC00320,CUST0019,2022-02-25,2868.87,DEPOSIT,BRANCH,ENTERTAINMENT,Transaction 237,True
TXN000238,ACC00143,CUST0125,2023-06-01,1326.26,TRANSFER,ATM,OTHER,Transaction 238,False
