fraud_id,transaction_id,customer_id,fraud_type,fraud_score,fraud_status,flagged_date,reviewed_by,resolution_notes
FRD0031,TXN000292,CUST0177,IDENTITY_THEFT,0.928,CONFIRMED,2023-04-12,ANALYST01,Case 31 under review
FRD0032,TXN000673,CUST0108,CARD_NOT_PRESENT,0.7857,UNDER_REVIEW,2022-06-20,ANALYST01,Case 32 under review
FRD0033,TXN001650,CUST0110,IDENTITY_THEFT,0.6221,UNDER_REVIEW,2024-04-07,ANALYST09,Case 33 under review
FRD0034,TXN000605,CUST0059,IDENTITY_THEFT,0.6215,SUSPECTED,2023-03-26,ANALYST02,Case 34 under review
FRD0035,TXN001443,CUST0095,CARD_NOT_PRESENT,0.692,UNDER_REVIEW,2022-08-23,ANALYST04,Case 35 under review
FRD0036,TXN001931,CUST0085,ACCOUNT_TAKEOVER,0.8081,CONFIRMED,2024-04-09,ANALYST05,Case 36 under review
FRD0037,TXN000912,CUST0059,IDENTITY_THEFT,0.9788,UNDER_REVIEW,2024-03-11,ANALYST06,Case 37 under review
FRD0038,TXN001397,CUST0110,VELOCITY_BREACH,0.7782,UNDER_REVIEW,2024-04-28,ANALYST06,Case 38 under review
FRD0039,TXN000797,CUST0021,VELOCITY_BREACH,0.9304,CONFIRMED,2024-12-28,ANALYST03,Case 39 under review
FRD0040,TXN000111,CUST0168,VELOCITY_BREACH,0.8685,UNDER_REVIEW,2022-03-19,ANALYST05,Case 40 under review
FRD0041,TXN001440,CUST0082,ACCOUNT_TAKEOVER,0.6976,SUSPECTED,2023-09-27,ANALYST04,Case 41 under review
FRD0042,TXN000363,CUST0110,UNUSUAL_PATTERN,0.8355,SUSPECTED,2024-11-17,ANALYST01,Case 42 under review
FRD0043,TXN000345,CUST0128,ACCOUNT_TAKEOVER,0.7288,CLEARED,2023-09-11,ANALYST09,Case 43 under review
FRD0044,TXN001299,CUST0091,ACCOUNT_TAKEOVER,0.5389,UNDER_REVIEW,2023-02-19,ANALYST08,Case 44 under review
FRD0045,TXN000049,CUST0021,CARD_NOT_PRESENT,0.8475,SUSPECTED,2023-11-17,ANALYST01,Case 45 under review
FRD0046,TXN000832,CUST0176,UNUSUAL_PATTERN,0.5573,CLEARED,2022-08-20,ANALYST03,Case 46 under review
FRD0047,TXN001469,CUST0072,ACCOUNT_TAKEOVER,0.8568,CONFIRMED,2024-04-24,ANALYST03,Case 47 under review
FRD0048,TXN001272,CUST0043,ACCOUNT_TAKEOVER,0.7157,SUSPECTED,2024-02-06,ANALYST02,Case 48 under review
FRD0049,TXN000760,CUST0057,VELOCITY_BREACH,0.8628,SUSPECTED,2022-06-12,ANALYST02,Case 49 under review
FRD0050,TXN001883,CUST0109,IDENTITY_THEFT,0.9535,CONFIRMED,2023-01-08,ANALYST09,Case 50 under review
FRD0051,TXN000646,CUST0142,VELOCITY_BREACH,0.9549,CONFIRMED,2022-12-31,ANALYST06,Case 51 under review
FRD0052,TXN001675,CUST0092,VELOCITY_BREACH,0.5472,CONFIRMED,2023-04-11,ANALYST02,Case 52 under review
FRD0053,TXN001884,CUST0100,VELOCITY_BREACH,0.7183,CLEARED,2024-05-11,ANALYST06,Case 53 under review
FRD0054,TXN001910,CUST0115,VELOCITY_BREACH,0.7753,CLEARED,2022-11-29,ANALYST10,Case 54 under review
FRD0055,TXN000549,CUST0129,UNUSUAL_PATTERN,0.8451,UNDER_REVIEW,2022-05-04,ANALYST03,Case 55 under review
FRD0056,TXN001431,CUST0051,CARD_NOT_PRESENT,0.6909,CONFIRMED,2022-07-02,ANALYST01,Case 56 under review
FRD0057,TXN001927,CUST0196,IDENTITY_THEFT,0.9586,UNDER_REVIEW,2024-06-15,ANALYST09,Case 57 under review
FRD0058,TXN001398,CUST0079,VELOCITY_BREACH,0.929,CONFIRMED,2024-03-29,ANALYST09,Case 58 under review
FRD0059,TXN000002,CUST0044,UNUSUAL_PATTERN,0.8043,SUSPECTED,2024-02-14,ANALYST09,Case 59 under review
FRD0060,TXN001829,CUST0191,VELOCITY_BREACH,0.7398,SUSPECTED,2022-02-23,ANALYST09,Case 60 under review
FRD0061,TXN000170,CUST0156,IDENTITY_THEFT,0.6658,CLEARED,2022-10-25,ANALYST01,Case 61 under review
FRD0062,TXN001366,CUST0115,CARD_NOT_PRESENT,0.9977,SUSPECTED,2022-11-23,ANALYST03,Case 62 under review
FRD0063,TXN000277,CUST0062,UNUSUAL_PATTERN,0.5813,CONFIRMED,2022-04-04,ANALYST03,Case 63 under review
FRD0064,TXN000374,CUST0119,VELOCITY_BREACH,0.6069,CLEARED,2024-01-23,ANALYST09,Case 64 under review
FRD0065,TXN000897,CUST0151,ACCOUNT_TAKEOVER,0.8126,SUSPECTED,2023-04-02,ANALYST03,Case 65 under review
FRD0066,TXN001846,CUST0106,ACCOUNT_TAKEOVER,0.5296,CONFIRMED,2024-04-05,ANALYST05,Case 66 under review
FRD0067,TXN000643,CUST0171,IDENTITY_THEFT,0.7436,CLEARED,2024-08-22,ANALYST04,Case 67 under review
FRD0068,TXN001608,CUST0156,ACCOUNT_TAKEOVER,0.9623,CONFIRMED,2024-04-26,ANALYST02,Case 68 under review
FRD0069,TXN001626,CUST0139,UNUSUAL_PATTERN,0.987,CLEARED,2023-11-18,ANALYST10,Case 69 under review
FRD0070,TXN001844,CUST0019,VELOCITY_BREACH,0.8553,CONFIRMED,2024-08-04,ANALYST03,Case 70 under review
FRD0071,TXN001159,CUST0075,CARD_NOT_PRESENT,0.5638,SUSPECTED,2024-08-31,ANALYST01,Case 71 under review
FRD0072,TXN000732,CUST0011,IDENTITY_THEFT,0.9686,SUSPECTED,2024-09-09,ANALYST04,Case 72 under review
FRD0073,TXN001786,CUST0145,ACCOUNT_TAKEOVER,0.5653,UNDER_REVIEW,2023-08-03,ANALYST08,Case 73 under review
FRD0074,TXN001971,CUST0152,IDENTITY_THEFT,0.9252,SUSPECTED,2022-09-23,ANALYST02,Case 74 under review
FRD0075,TXN000122,CUST0104,ACCOUNT_TAKEOVER,0.6865,SUSPECTED,2024-09-11,ANALYST01,Case 75 under review
FRD0076,TXN000022,CUST0179,ACCOUNT_TAKEOVER,0.7517,UNDER_REVIEW,2023-02-15,ANALYST06,Case 76 under review
FRD0077,TXN000324,CUST0024,CARD_NOT_PRESENT,0.7036,UNDER_REVIEW,2024-09-18,ANALYST04,Case 77 under review
FRD0078,TXN001762,CUST0035,CARD_NOT_PRESENT,0.8411,CONFIRMED,2022-05-21,ANALYST06,Case 78 under review
FRD0079,TXN000856,CUST0107,VELOCITY_BREACH,0.6154,UNDER_REVIEW,2023-09-25,ANALYST08,Case 79 under review
FRD0080,TXN001556,CUST0093,UNUSUAL_PATTERN,0.6779,CONFIRMED,2023-03-15,ANALYST10,Case 80 under review
FRD0081,TXN001664,CUST0177,VELOCITY_BREACH,0.6121,CONFIRMED,2022-12-18,ANALYST01,Case 81 under review
FRD0082,TXN001433,CUST0020,ACCOUNT_TAKEOVER,0.9953,CONFIRMED,2023-01-21,ANALYST07,Case 82 under review
FRD0083,TXN000104,CUST0172,CARD_NOT_PRESENT,0.7348,UNDER_REVIEW,2024-05-24,ANALYST10,Case 83 under review
FRD0084,TXN000162,CUST0021,CARD_NOT_PRESENT,0.9303,SUSPECTED,2024-01-14,ANALYST10,Case 84 under review
FRD0085,TXN000655,CUST0097,VELOCITY_BREACH,0.6091,CONFIRMED,2022-05-16,ANALYST05,Case 85 under review
FRD0086,TXN000228,CUST0106,ACCOUNT_TAKEOVER,0.9211,CLEARED,2024-05-19,ANALYST02,Case 86 under review
FRD0087,TXN000691,CUST0116,VELOCITY_BREACH,0.6935,SUSPECTED,2024-04-17,ANALYST03,Case 87 under review
FRD0088,TXN000440,CUST0025,VELOCITY_BREACH,0.5406,SUSPECTED,2022-01-22,ANALYST02,Case 88 under review
FRD0089,TXN001768,CUST0139,UNUSUAL_PATTERN,0.7434,CONFIRMED,2024-12-16,ANALYST06,Case 89 under review
FRD0090,TXN001474,CUST0123,UNUSUAL_PATTERN,0.7786,CLEARED,2022-07-18,ANALYST07,Case 90 under review
FRD0091,TXN001906,CUST0196,UNUSUAL_PATTERN,0.7303,CONFIRMED,2023-08-24,ANALYST07,Case 91 under review
FRD0092,TXN000375,CUST0043,ACCOUNT_TAKEOVER,0.8502,SUSPECTED,2022-06-24,ANALYST02,Case 92 under review
FRD0093,TXN001857,CUST0048,VELOCITY_BREACH,0.7561,UNDER_REVIEW,2022-03-22,ANALYST06,Case 93 under review
FRD0094,TXN001800,CUST0083,IDENTITY_THEFT,0.5302,CLEARED,2023-11-09,ANALYST05,Case 94 under review
FRD0095,TXN000711,CUST0028,IDENTITY_THEFT,0.828,UNDER_REVIEW,2023-06-15,ANALYST07,Case 95 under review
FRD0096,TXN001980,CUST0064,UNUSUAL_PATTERN,0.9898,CLEARED,2022-08-26,ANALYST10,Case 96 under review
FRD0097,TXN001635,CUST0016,ACCOUNT_TAKEOVER,0.8586,UNDER_REVIEW,2022-08-10,ANALYST06,Case 97 under review
FRD0098,TXN001341,CUST0077,CARD_NOT_PRESENT,0.6512,UNDER_REVIEW,2022-07-25,ANALYST03,Case 98 under review
FRD0099,TXN001406,CUST0147,UNUSUAL_PATTERN,0.5949,SUSPECTED,2024-03-22,ANALYST07,Case 99 under review
FRD0100,TXN001205,CUST0138,ACCOUNT_TAKEOVER,0.7169,CONFIRMED,2024-05-19,ANALYST02,Case 100 under review
